Glass ,A1,A2,A3,B1,B2,B3
S-TIH 6,1.77227611E+00,3.45691250E-01,2.40788501E+00,1.31182633E-02,6.14479619E-02,2.00753254E+02
S-TIH10,1.61549392E+00,2.62433239E-01,2.09426189E+00,1.19830897E-02,5.96510240E-02,1.81657554E+02
S-TIH11,1.72677471E+00,3.24568628E-01,2.65816809E+00,1.29369958E-02,6.18255245E-02,2.21904637E+02
S-TIH13,1.62224674E+00,2.93844589E-01,1.99225164E+00,1.18368386E-02,5.90208025E-02,1.71959976E+02
S-TIH14,1.68915108E+00,2.90462024E-01,2.37971516E+00,1.28202514E-02,6.18090841E-02,2.01094352E+02
S-TIH18,1.59921608E+00,2.59532164E-01,2.12454543E+00,1.16469304E-02,5.84824883E-02,1.86927779E+02
S-TIH23,1.73986485E+00,3.13894918E-01,2.31093206E+00,1.29441300E-02,6.12116868E-02,1.97420482E+02
S-TIH53,1.87904886E+00,3.69719775E-01,2.33730863E+00,1.44121770E-02,6.38817990E-02,1.82668180E+02
S-TIH53W,1.87904886E+00,3.69719775E-01,2.33730863E+00,1.44121770E-02,6.38817990E-02,1.82668180E+02
S-TIH57,2.21103256E+00,4.50346986E-01,2.47746663E+00,1.42330268E-02,6.38573392E-02,1.61937600E+02
S-LAL 7,9.16121247E-01,7.65948319E-01,1.27745023E+00,3.95889743E-03,1.67547425E-02,1.10762706E+02
S-LAL 8,1.30663291E+00,5.71377253E-01,1.24303605E+00,6.11862448E-03,2.12721470E-02,9.06285686E+01
S-LAL 9,1.16195687E+00,6.44860099E-01,1.25062221E+00,1.59659509E-02,5.05502467E-04,9.38284169E+01
S-LAL10,1.52812575E+00,3.67965267E-01,1.11751784E+00,7.76817644E-03,2.72026548E-02,8.88697400E+01
S-LAL12,9.92053895E-01,7.71377731E-01,1.18296264E+00,1.67095063E-02,2.36750156E-03,1.05901080E+02
S-LAL13,9.80071267E-01,8.32904776E-01,1.28111995E+00,3.89123698E-03,1.89164592E-02,9.89052676E+01
S-LAL14,1.23720970E+00,5.89722623E-01,1.31921880E+00,1.53551320E-02,-3.07896250E-04,9.37202947E+01
S-LAL18,1.50276318E+00,4.30224497E-01,1.34726060E+00,1.45462356E-02,-3.32784153E-03,9.33508342E+01
S-LAL19,9.73997577E-01,9.58186322E-01,1.20163359E+00,3.79332678E-03,1.77574581E-02,8.37989600E+01
S-LAL20,1.06788467E+00,7.58735350E-01,1.02804682E+00,5.18896058E-03,2.04004357E-02,1.20826320E+02
S-LAL21,9.35250779E-01,9.05988706E-01,1.43351212E+00,1.80836047E-02,4.08452643E-03,1.38683410E+02
S-LAL54,1.41910189E+00,2.58416881E-01,1.07385537E+00,7.26647428E-03,2.63842499E-02,1.02555463E+02
