BSM10,2.59E+00,-9.88E-03,1.56E-02,3.66E-04,-1.83E-05,1.46E-06
BSM14,2.53E+00,-1.05E-02,1.39E-02,3.17E-04,-1.65E-05,1.12E-06
BSM15,2.59E+00,-9.89E-03,1.57E-02,2.12E-04,5.76E-06,-3.13E-08
BSM16,2.59E+00,-1.14E-02,1.39E-02,5.17E-04,-3.77E-05,2.06E-06
BSM16C,2.59E+00,-1.14E-02,1.39E-02,5.03E-04,-3.61E-05,1.99E-06
BSM18,2.64E+00,-1.10E-02,1.60E-02,5.35E-04,-3.57E-05,2.60E-06
BSM21,2.57E+00,-8.66E-03,1.66E-02,2.87E-04,-3.49E-06,8.93E-07
BSM22,1.35E+00,7.45E-03,2.32E-01,2.95E-02,1.18E+00,1.32E+02
BSM23,2.56E+00,-9.75E-03,1.60E-02,6.68E-04,-4.42E-05,3.10E-06
BSM24,2.57E+00,-8.65E-03,1.69E-02,7.62E-05,2.61E-05,-7.47E-07
BSM25,2.69E+00,-9.56E-03,1.97E-02,1.35E-04,3.25E-05,-8.80E-07
BSM28,2.57E+00,-1.05E-02,1.66E-02,5.81E-04,-2.36E-05,2.23E-06
BSM36,2.65E+00,-1.28E-02,1.52E-02,5.04E-04,-3.50E-05,2.05E-06
BSM51Y,1.22E+00,6.50E-03,3.06E-01,2.08E-02,8.24E-01,7.95E+01
BSM71,2.67E+00,-9.37E-03,1.85E-02,1.62E-04,2.09E-05,-1.36E-07
BSM81,2.65E+00,-1.45E-02,1.44E-02,5.29E-04,-4.13E-05,2.30E-06
BSM93,2.65E+00,-1.16E-02,1.55E-02,5.32E-04,-3.39E-05,2.10E-06
FPL51,2.22E+00,-5.93E-03,8.08E-03,1.66E-04,-8.06E-06,3.58E-07
FPL52,2.10E+00,-5.35E-03,6.05E-03,2.85E-04,-2.99E-05,1.54E-06
FPL53,2.05E+00,-4.32E-03,6.28E-03,-9.85E-06,1.36E-05,-8.90E-07
FSL3,2.12E+00,-8.94E-03,9.02E-03,1.38E-04,-8.28E-07,2.67E-08
FSL5,2.19E+00,-9.87E-03,8.14E-03,4.24E-04,-4.37E-05,2.30E-06
FTL8,2.25E+00,-1.00E-02,1.07E-02,9.85E-04,-1.01E-04,7.04E-06
FTL10,2.22E+00,-8.58E-03,1.10E-02,4.17E-04,-2.75E-05,2.17E-06
